upper_district,party,votes,allocated_seats
Alentejo,PS,59277,2
Alentejo,CH,58747,2
Alentejo,PPD/PSD.CDS-PP,51935,1
Alentejo,PCP-PEV,21614,0
Alentejo,IL,4961,0
Alentejo,L,4829,0
Alentejo,B.E.,3585,0
Alentejo,ADN,2315,0
Alentejo,PAN,1819,0
Alentejo,PCTP/MRPP,718,0
Alentejo,R.I.R.,352,0
Alentejo,VP,307,0
Alentejo,E,222,0
Alentejo,PPM,203,0
Alentejo,NC,106,0
Alentejo,ND,97,0
Aveiro,PPD/PSD.CDS-PP,163617,5
Aveiro,PS,90010,3
Aveiro,CH,85760,3
Aveiro,IL,23444,0
Aveiro,L,12805,0
Aveiro,B.E.,7015,0
Aveiro,ADN,6974,0
Aveiro,PAN,5131,0
Aveiro,PCP-PEV,4923,0
Aveiro,PCTP/MRPP,1005,0
Aveiro,R.I.R.,933,0
Aveiro,VP,592,0
Aveiro,E,528,0
Aveiro,ND,472,0
Aveiro,PPM,304,0
Aveiro,NC,299,0
Açores,PPD/PSD.CDS-PP.PPM,36879,2
Açores,PS,23810,1
Açores,CH,23053,1
Açores,IL,3481,0
Açores,L,2534,0
Açores,B.E.,2106,0
Açores,ADN,1666,0
Açores,PAN,1314,0
Açores,PCP-PEV,1219,0
Açores,JPP,271,0
Açores,R.I.R.,140,0
Açores,E,119,0
Açores,MPT,113,0
Beira Baixa,PPD/PSD.CDS-PP,65907,2
Beira Baixa,PS,51301,1
Beira Baixa,CH,41560,1
Beira Baixa,IL,5137,0
Beira Baixa,L,3881,0
Beira Baixa,ADN,3532,0
Beira Baixa,PCP-PEV,3264,0
Beira Baixa,B.E.,2725,0
Beira Baixa,PAN,1551,0
Beira Baixa,R.I.R.,333,0
Beira Baixa,PPM,324,0
Beira Baixa,VP,316,0
Beira Baixa,PCTP/MRPP,300,0
Beira Baixa,E,225,0
Beira Baixa,NC,117,0
Braga,PPD/PSD.CDS-PP,192829,6
Braga,PS,123782,3
Braga,CH,117248,3
Braga,IL,36156,1
Braga,L,16402,0
Braga,B.E.,9887,0
Braga,PCP-PEV,9108,0
Braga,ADN,5188,0
Braga,PAN,5113,0
Braga,R.I.R.,1063,0
Braga,ND,867,0
Braga,VP,683,0
Braga,E,515,0
Braga,JPP,298,0
Braga,PPM,271,0
Coimbra,PPD/PSD.CDS-PP,79524,3
Coimbra,PS,63348,2
Coimbra,CH,42527,1
Coimbra,IL,10273,0
Coimbra,L,9392,0
Coimbra,PCP-PEV,5796,0
Coimbra,B.E.,5027,0
Coimbra,ADN,3752,0
Coimbra,PAN,2828,0
Coimbra,R.I.R.,474,0
Coimbra,VP,400,0
Coimbra,E,340,0
Coimbra,ND,245,0
Coimbra,PPM,235,0
Coimbra,JPP,154,0
Faro,CH,78168,3
Faro,PPD/PSD.CDS-PP,59353,2
Faro,PS,47293,1
Faro,IL,10047,0
Faro,L,7735,0
Faro,PCP-PEV,6170,0
Faro,B.E.,5724,0
Faro,ADN,4182,0
Faro,PAN,4161,0
Faro,R.I.R.,512,0
Faro,E,486,0
Faro,VP,437,0
Faro,ND,423,0
Faro,PPM,332,0
Faro,JPP,262,0
Leiria,PPD/PSD.CDS-PP,98243,3
Leiria,CH,61162,2
Leiria,PS,50321,2
Leiria,IL,15971,0
Leiria,L,9299,0
Leiria,ADN,5745,0
Leiria,PCP-PEV,5468,0
Leiria,B.E.,5099,0
Leiria,PAN,3103,0
Leiria,ND,723,0
Leiria,R.I.R.,587,0
Leiria,VP,487,0
Leiria,E,398,0
Leiria,PPM,323,0
Lisboa 1,PPD/PSD.CDS-PP,117200,4
Lisboa 1,PS,93977,3
Lisboa 1,CH,75254,2
Lisboa 1,IL,31575,1
Lisboa 1,L,26226,0
Lisboa 1,PCP-PEV,12061,0
Lisboa 1,B.E.,8651,0
Lisboa 1,PAN,7545,0
Lisboa 1,ADN,4781,0
Lisboa 1,PCTP/MRPP,1008,0
Lisboa 1,VP,957,0
Lisboa 1,ND,612,0
Lisboa 1,E,606,0
Lisboa 1,PLS,583,0
Lisboa 1,R.I.R.,557,0
Lisboa 1,PPM,317,0
Lisboa 1,JPP,240,0
Lisboa 1,NC,225,0
Lisboa 2,PPD/PSD.CDS-PP,133087,4
Lisboa 2,PS,106773,3
Lisboa 2,CH,83211,2
Lisboa 2,IL,37057,1
Lisboa 2,L,36900,1
Lisboa 2,PCP-PEV,18267,0
Lisboa 2,B.E.,11544,0
Lisboa 2,PAN,7584,0
Lisboa 2,ADN,4791,0
Lisboa 2,PCTP/MRPP,1316,0
Lisboa 2,VP,1238,0
Lisboa 2,E,788,0
Lisboa 2,R.I.R.,716,0
Lisboa 2,PLS,636,0
Lisboa 2,ND,553,0
Lisboa 2,PPM,324,0
Lisboa 2,JPP,243,0
Lisboa 2,NC,228,0
Lisboa 3,PPD/PSD.CDS-PP,112219,4
Lisboa 3,CH,107253,3
Lisboa 3,PS,100742,3
Lisboa 3,IL,28466,1
Lisboa 3,L,24404,0
Lisboa 3,PCP-PEV,15102,0
Lisboa 3,B.E.,9719,0
Lisboa 3,PAN,8240,0
Lisboa 3,ADN,5843,0
Lisboa 3,PCTP/MRPP,1342,0
Lisboa 3,VP,961,0
Lisboa 3,R.I.R.,926,0
Lisboa 3,ND,851,0
Lisboa 3,E,758,0
Lisboa 3,PLS,675,0
Lisboa 3,JPP,332,0
Lisboa 3,PPM,304,0
Lisboa 3,NC,302,0
Madeira,PPD/PSD.CDS-PP,57447,3
Madeira,CH,29038,1
Madeira,PS,18704,0
Madeira,JPP,17115,0
Madeira,IL,3657,0
Madeira,B.E.,1870,0
Madeira,PCP-PEV,1763,0
Madeira,L,1749,0
Madeira,ADN,1554,0
Madeira,PAN,1445,0
Madeira,PPM,454,0
Madeira,ND,432,0
Madeira,PTP,421,0
Madeira,MPT,358,0
Madeira,R.I.R.,346,0
Madeira,E,187,0
Porto 1,PPD/PSD.CDS-PP,184363,6
Porto 1,PS,134886,4
Porto 1,CH,116585,3
Porto 1,IL,29162,0
Porto 1,L,19868,0
Porto 1,PCP-PEV,11598,0
Porto 1,B.E.,10194,0
Porto 1,PAN,7579,0
Porto 1,ADN,6197,0
Porto 1,R.I.R.,2419,0
Porto 1,PLS,1960,0
Porto 1,VP,1296,0
Porto 1,PCTP/MRPP,1118,0
Porto 1,ND,1030,0
Porto 1,E,854,0
Porto 1,NC,669,0
Porto 1,JPP,406,0
Porto 1,PPM,299,0
Porto 2,PPD/PSD.CDS-PP,191243,6
Porto 2,PS,128907,4
Porto 2,CH,110221,3
Porto 2,IL,37764,1
Porto 2,L,27288,0
Porto 2,PCP-PEV,13404,0
Porto 2,B.E.,11998,0
Porto 2,PAN,8854,0
Porto 2,ADN,5078,0
Porto 2,PLS,1635,0
Porto 2,R.I.R.,1548,0
Porto 2,VP,1277,0
Porto 2,PCTP/MRPP,1061,0
Porto 2,E,917,0
Porto 2,ND,778,0
Porto 2,NC,436,0
Porto 2,JPP,343,0
Porto 2,PPM,297,0
Santarém,PPD/PSD.CDS-PP,74716,2
Santarém,CH,68687,2
Santarém,PS,55545,2
Santarém,IL,9593,0
Santarém,PCP-PEV,8780,0
Santarém,L,7857,0
Santarém,B.E.,4367,0
Santarém,ADN,3969,0
Santarém,PAN,2749,0
Santarém,R.I.R.,538,0
Santarém,VP,498,0
Santarém,E,424,0
Santarém,PPM,247,0
Setúbal,CH,129569,4
Setúbal,PS,122679,4
Setúbal,PPD/PSD.CDS-PP,103181,3
Setúbal,PCP-PEV,34956,1
Setúbal,L,28700,1
Setúbal,IL,27057,0
Setúbal,B.E.,13068,0
Setúbal,PAN,9229,0
Setúbal,ADN,4187,0
Setúbal,PCTP/MRPP,2990,0
Setúbal,VP,886,0
Setúbal,PLS,847,0
Setúbal,R.I.R.,749,0
Setúbal,E,714,0
Setúbal,ND,682,0
Setúbal,JPP,453,0
Setúbal,NC,389,0
Setúbal,PPM,320,0
Trás-os-Montes,PPD/PSD.CDS-PP,81133,3
Trás-os-Montes,PS,45786,1
Trás-os-Montes,CH,37042,1
Trás-os-Montes,IL,4008,0
Trás-os-Montes,ADN,2784,0
Trás-os-Montes,L,2535,0
Trás-os-Montes,PCP-PEV,2126,0
Trás-os-Montes,B.E.,1741,0
Trás-os-Montes,PAN,1244,0
Trás-os-Montes,R.I.R.,279,0
Trás-os-Montes,PPM,252,0
Trás-os-Montes,E,210,0
Trás-os-Montes,VP,197,0
Viana do Castelo,PPD/PSD.CDS-PP,55376,2
Viana do Castelo,CH,32141,1
Viana do Castelo,PS,30393,1
Viana do Castelo,IL,5344,0
Viana do Castelo,L,3640,0
Viana do Castelo,PCP-PEV,2763,0
Viana do Castelo,B.E.,2285,0
Viana do Castelo,ADN,2047,0
Viana do Castelo,PAN,1300,0
Viana do Castelo,R.I.R.,315,0
Viana do Castelo,E,275,0
Viana do Castelo,VP,209,0
Viana do Castelo,PPM,145,0
Viseu,PPD/PSD.CDS-PP,88374,3
Viseu,CH,45794,1
Viseu,PS,45210,1
Viseu,IL,6465,0
Viseu,L,4394,0
Viseu,ADN,4188,0
Viseu,PCP-PEV,2489,0
Viseu,B.E.,2464,0
Viseu,R.I.R.,547,0
Viseu,ND,431,0
Viseu,PPM,344,0
Viseu,VP,246,0
Viseu,E,227,0
