upper_district,n_parishes,n_municipalities,n_distritos_original,registered_voters,total_mandates,party_list_seats,single_member_seats
Alentejo,231,43,3,343472,8,5,3
Aveiro,174,19,1,642044,16,11,5
Açores,156,19,9,230289,6,4,2
Beira Baixa,373,25,2,302080,7,4,3
Braga,371,14,1,782367,19,13,6
Coimbra,161,17,1,370773,9,6,3
Faro,76,16,1,383944,9,6,3
Leiria,116,16,1,411995,10,7,3
Lisboa 1,19,4,1,590097,15,10,5
Lisboa 2,64,6,1,667321,16,11,5
Lisboa 3,58,6,1,655527,16,11,5
Madeira,54,11,2,255801,6,4,2
Porto 1,182,10,1,793374,19,13,6
Porto 2,93,8,1,797983,20,14,6
Santarém,150,21,1,377415,9,6,3
Setúbal,60,13,1,754726,19,13,6
Trás-os-Montes,426,26,2,339665,8,5,3
Viana do Castelo,213,10,1,232581,6,4,2
Viseu,282,24,1,334039,8,5,3
