upper_district,registered_voters,voter_share,quota,floor_seats,remainder,extra_seat,total_mandates
Alentejo,343472,0.03707001883224131,8.377824256086535,8,0.37782425608653547,0,8
Aveiro,642044,0.06929410016282997,15.660466636799573,15,0.6604666367995726,1,16
Açores,230289,0.02485447887122682,5.617112224897261,5,0.6171122248972614,1,6
Beira Baixa,302080,0.03260269043428126,7.368208038147565,7,0.3682080381475652,0,7
Braga,782367,0.08443878809254941,19.083166108916167,19,0.08316610891616705,0,19
Coimbra,370773,0.04001654310245553,9.04373874115495,9,0.043738741154950134,0,9
Faro,383944,0.041438054078719824,9.36500022179068,9,0.36500022179068026,0,9
Leiria,411995,0.04446552385285921,10.04920839074618,10,0.04920839074618044,0,10
Lisboa 1,590097,0.06368759870629657,14.393397307623026,14,0.39339730762302594,1,15
Lisboa 2,667321,0.07202217949978484,16.277012566951374,16,0.2770125669513739,0,16
Lisboa 3,655527,0.07074928446872714,15.989338289932332,15,0.9893382899323324,1,16
Madeira,255801,0.027607921132744906,6.239390176000349,6,0.23939017600034873,0,6
Porto 1,793374,0.085626744308155,19.35164421364303,19,0.35164421364303067,0,19
Porto 2,797983,0.08612418141160973,19.464064999023797,19,0.4640649990237975,1,20
Santarém,377415,0.040733396485216705,9.205747605658976,9,0.20574760565897598,0,9
Setúbal,754726,0.08145556852722245,18.408958487152272,18,0.40895848715227245,1,19
Trás-os-Montes,339665,0.036659139454317216,8.28496551667569,8,0.28496551667569037,0,8
Viana do Castelo,232581,0.025101848331222094,5.673017722856193,5,0.6730177228561933,1,6
Viseu,334039,0.036051940247539986,8.147738495944036,8,0.14773849594403643,0,8
